

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |
|GRB081206987|03 37 12.0|-08 36 00|  22.528|
|GRB140206275|21 01 02.4|-08 31 12| 146.690|
|GRB120129312|01 46 04.8|-08 30 36|   1.280|
|GRB101025146|16 00 45.6|-08 29 24|  14.336|
|GRB090217206|13 39 36.0|-08 24 00|  33.281|
|GRB150127398|19 02 52.8|-08 22 12|  52.736|
|GRB160104918|18 41 43.2|-08 20 24|  44.288|
|GRB100401297|19 23 12.0|-08 18 00|  92.416|
|GRB150906944|14 08 09.6|+01 05 24|   0.320|
|GRB090409288|20 08 24.0|+01 06 00|  30.337|
|GRB120531393|19 21 36.0|+01 13 12|  25.344|
|GRB110824009|10 08 12.0|+01 19 12|  76.607|
|GRB140102887|14 07 40.6|+01 19 59|   3.648|
|GRB160920249|21 44 33.6|+01 21 00|  15.616|
|GRB170130510|20 35 00.0|+01 26 24| 101.890|
|GRB130404428|02 03 00.0|+01 32 24|   3.328|
|GRB131231198|00 42 21.6|-01 39 00|  31.232|
|GRB150520893|08 34 07.2|-01 37 48|  15.616|
|GRB100810049|08 19 04.8|-01 36 36|   2.560|
|GRB110923481|12 05 28.8|-01 36 00|   1.664|
|GRB170901007|01 35 52.8|-01 36 00|   5.888|
|GRB150220598|09 01 59.0|-01 35 49| 144.643|
|GRB100117879|00 45 02.4|-01 35 38|   0.256|
|GRB131031482|01 58 26.4|-01 34 48|   7.424|
|GRB170101116|04 42 33.6|-01 34 48|  12.800|
|GRB091202072|17 10 00.0|-01 54 00|  27.648|
|GRB170214649|17 05 19.2|-01 52 48| 122.882|
|GRB140724533|20 58 55.2|-01 51 00|   0.896|
|GRB100612726|23 28 00.0|-01 49 48|   8.576|
|GRB130214137|21 40 04.8|-01 49 48|  96.768|
|GRB171025416|06 32 00.0|-01 46 12|  19.712|
|GRB111024896|06 04 55.2|-01 45 00|   1.792|
|GRB141020439|17 41 57.6|-01 40 48|   1.600|
|GRB120604343|07 34 19.2|-02 47 24|  12.032|
|GRB090815300|02 44 07.2|-02 43 48|  48.385|
|GRB100122616|05 16 48.0|-02 42 36|  22.529|
|GRB130527627|11 43 09.6|-02 31 12|  27.776|
|GRB130803419|14 41 01.2|-02 29 35|   7.616|
|GRB131117766|14 13 04.8|-02 28 12|  93.954|
|GRB130905377|18 23 33.6|-02 18 36|  21.248|
|GRB150922234|19 31 50.4|-02 15 00|   0.144|
|GRB160220868|21 47 33.6|+06 03 00|  22.528|
|GRB130628860|20 51 19.2|+06 06 00|   0.512|
|GRB110706202|06 40 19.2|+06 08 24|  12.032|
|GRB160731024|07 54 50.4|+06 09 00|  28.672|
|GRB160806584|18 23 21.6|+06 10 48|   1.728|
|GRB090429753|08 20 50.4|+06 12 00|   0.640|
|GRB110517573|12 40 36.0|+06 17 24|  23.040|
|GRB170318644|18 57 13.4|+06 17 55|   4.096|
|GRB110722694|14 20 14.4|+05 00 00|  73.473|
|GRB120111051|06 21 21.6|+05 00 00|  76.801|
|GRB090411991|02 34 00.0|+05 06 00|  14.336|
|GRB080808565|02 14 24.0|+05 24 00|  17.728|
|GRB100719989|07 33 12.0|+05 24 00|  21.824|
|GRB110626448|08 47 38.4|+05 33 36|   6.400|
|GRB140406120|23 50 12.0|+05 37 48| 109.312|
|GRB150729517|14 36 52.8|+05 45 00|  35.585|
|GRB080730520|16 21 36.0|+04 36 00|  17.408|
|GRB111124308|06 16 14.4|+04 37 48|   8.960|
|GRB150510139|01 04 38.4|+04 47 24|  51.904|
|GRB091220442|11 07 04.8|+04 48 36|  18.368|
|GRB131230808|04 52 12.0|+04 50 24|  49.152|
|GRB120415891|12 42 45.6|+04 54 36|   0.960|
|GRB130626596|01 39 33.6|+04 55 48|  28.160|
|GRB110729142|23 33 33.6|+04 58 12| 408.582|
|GRB150724782|23 27 40.8|+03 40 12|  37.889|
|GRB100223110|06 58 00.0|+03 42 00|   0.256|
|GRB130504978|06 06 31.3|+03 50 02|  73.217|
|GRB111226795|01 26 00.0|+03 52 12|  74.753|
|GRB140610689|19 05 02.4|+03 54 25| 134.144|
|GRB141207800|10 39 57.6|+03 54 36|  20.992|
|GRB100503554|09 49 55.2|+03 57 36| 129.602|
|GRB101208203|14 09 36.0|+04 02 24|   0.192|
|GRB090331681|14 02 00.0|+03 06 00|   0.832|
|GRB140113183|05 02 31.2|+03 10 48|  68.864|
|GRB080829790|14 47 36.0|+03 12 00|   7.680|
|GRB091231540|16 05 02.4|+03 17 24|  15.616|
|GRB150215026|20 22 28.8|+03 22 48|   0.512|
|GRB111127810|06 54 48.0|+03 30 00|  19.008|
|GRB170918139|02 26 14.4|+03 31 12|   0.128|
|GRB090908314|18 49 00.0|+03 32 24|  67.329|
|GRB170810918|12 31 45.4|+03 39 37| 136.960|
|GRB101123952|09 00 38.4|+01 54 36| 103.938|
|GRB130216790|03 55 30.0|+02 02 24|  12.992|
|GRB170808936|09 42 38.4|+02 10 48|  17.664|
|GRB170709334|20 40 09.6|+02 12 00|   1.856|
|GRB160301215|07 37 36.0|+02 17 24|  29.697|
|GRB110806934|07 28 09.6|+02 22 48|  28.416|
|GRB160908136|16 06 02.4|+02 23 24| 156.672|
|GRB141206254|21 22 14.4|+02 25 12|   4.608|
|GRB110726211|21 10 50.4|+02 28 12|  29.953|
|GRB091230260|06 46 07.2|+00 40 48|  62.976|
|GRB090518080|07 59 48.0|+00 45 00|   2.048|
|GRB160224911|21 19 28.8|+00 45 00|   0.384|
|GRB150822178|09 37 50.4|+00 51 00|  13.312|
|GRB170527480|13 00 45.6|+00 56 24|  49.153|
|GRB140906429|12 23 21.6|+00 58 48|  20.736|
|GRB101129726|18 06 09.6|+01 00 36|   0.576|
|GRB150806348|07 07 24.0|+01 00 36|  85.248|
|GRB110415541|14 15 16.8|+09 03 00| 166.146|
|GRB091202219|00 55 26.4|+09 04 48| 111.106|
|GRB170607971|00 29 22.3|+09 14 17|  22.589|
|GRB150208573|11 47 45.6|+09 20 24|   6.912|
|GRB160223072|09 50 20.2|+09 22 23| 117.762|
|GRB100522157|00 27 56.8|+09 24 08|  35.326|
|GRB120130906|04 19 50.4|+09 28 48|   3.584|
|GRB090301315|23 31 12.0|+09 30 00|  23.296|
|GRB170307851|00 54 08.4|+09 32 13|  57.857|
|GRB110102788|16 23 31.7|+07 36 58| 253.956|
|GRB150721242|22 16 33.6|+07 45 36|  18.432|
|GRB161007009|08 38 26.4|+07 48 36|  30.720|
|GRB101127093|19 21 14.4|+07 53 24|  29.440|
|GRB160822672|18 01 55.2|+08 01 12|   0.424|
|GRB151228949|22 57 41.8|+08 04 54|  28.672|
|GRB130318456|13 22 57.6|+08 07 12| 121.088|
|GRB160928825|08 41 33.6|+08 08 24|   6.141|
|GRB160625945|20 34 23.3|+06 55 11| 454.665|
|GRB140818229|13 18 15.1|+06 55 21| 109.250|
|GRB150203173|06 33 35.8|+06 57 12|  25.600|
|GRB100924165|00 02 41.3|+07 00 14|   9.024|
|GRB120412920|02 35 38.4|+07 03 36| 101.182|
|GRB110706977|23 09 52.8|+07 06 36|  33.217|
|GRB120624309|00 19 05.5|+07 10 01|   0.640|
|GRB170916700|06 33 43.2|+07 10 12|   5.120|
|GRB150210935|07 31 24.0|+12 21 36|  31.294|
|GRB130606316|22 37 28.8|+12 29 24|  24.128|
|GRB161009651|07 27 19.2|+12 33 00|  92.160|
|GRB170120471|17 31 19.2|+12 34 12|  28.928|
|GRB120608777|20 53 02.4|+12 38 24|  24.832|
|GRB141004973|05 07 00.0|+12 49 26|   2.560|
|GRB100713980|05 28 14.4|+13 00 00|   7.616|
|GRB120609580|04 29 16.8|+13 00 00|   1.792|
|GRB130307238|21 18 04.8|+10 46 12|  63.488|
|GRB151001628|15 34 55.2|+10 58 01|  23.552|
|GRB141208038|15 56 38.4|+10 58 12|  14.336|
|GRB170124528|00 43 24.0|+11 01 12|   0.448|
|GRB161005977|15 57 26.4|+11 06 00|  19.456|
|GRB140723499|01 38 31.2|+11 11 24|  45.056|
|GRB130515755|09 47 04.8|+11 15 36|   2.560|
|GRB091103912|11 22 24.0|+11 18 00|  13.568|
|GRB120716712|20 52 12.2|+09 35 55| 237.056|
|GRB101112984|06 40 24.0|+09 37 12|  82.944|
|GRB131108862|10 26 00.2|+09 39 44|  18.176|
|GRB090703329|00 03 04.8|+09 40 48|   8.960|
|GRB120302722|01 36 21.6|+09 42 36|   1.600|
|GRB170329387|23 46 24.0|+09 48 00|  33.536|
|GRB100417789|19 43 14.4|+09 50 24|  52.545|
|GRB080715950|14 18 48.0|+09 54 00|   7.872|
|GRB140406144|04 40 24.0|+13 32 24|  37.120|
|GRB140517813|08 31 00.0|+13 34 12|  18.941|
|GRB161012416|00 01 04.8|+13 34 48|  44.288|
|GRB120512112|21 42 13.9|+13 38 10|  18.176|
|GRB160216801|08 37 48.0|+13 42 00|   7.677|
|GRB170501467|06 28 02.4|+13 42 36|  47.360|
|GRB100612545|04 14 07.2|+13 44 24|   0.576|
|GRB090530760|04 52 48.0|+13 48 00| 127.554|
|GRB090617208|05 15 33.6|+15 39 00|   0.192|
|GRB160406023|15 15 45.6|+15 43 12|  23.040|
|GRB161207813|03 55 09.6|+15 43 48|  36.352|
|GRB170228773|23 43 45.6|+15 43 48|  46.081|
|GRB130116415|02 32 57.6|+15 45 00|  66.816|
|GRB130702004|14 29 14.9|+15 46 26|  58.881|
|GRB100413732|17 44 53.3|+15 50 02| 179.651|
|GRB100811108|23 03 28.8|+15 51 36|   0.384|
|GRB140828288|09 28 02.6|+14 35 24|  23.552|
|GRB130216927|04 31 36.0|+14 40 12|   6.592|
|GRB150605782|14 31 26.4|+14 42 36|   0.176|
|GRB100621529|10 43 26.4|+14 43 12|   1.024|
|GRB160711968|01 00 19.2|+14 56 24|  25.344|
|GRB130720116|16 14 00.0|+14 58 12|  48.640|
|GRB100225249|23 31 24.0|+15 01 48|  32.000|
|GRB140122597|03 44 19.2|+15 05 24|   3.584|
|GRB150110433|14 28 00.0|+18 54 00|  74.304|
|GRB140105748|16 51 31.2|+19 01 48|   0.576|
|GRB170816599|23 25 40.8|+19 05 24|   1.664|
|GRB170821265|16 51 26.4|+19 06 36|  52.992|
|GRB130109206|01 09 48.0|+19 14 24|   8.960|
|GRB150131951|04 09 04.8|+19 16 12|   8.192|
|GRB110622158|08 55 50.4|+19 27 36|  70.401|
|GRB100717446|20 17 14.4|+19 31 48|   2.432|
|GRB090522344|18 30 48.0|+19 36 00|  20.288|
|GRB090423330|09 54 48.0|+18 06 00|   7.168|
|GRB131212814|18 14 31.2|+18 06 36|   7.424|
|GRB140113624|21 57 28.8|+18 07 48|   4.608|
|GRB080925775|06 24 24.0|+18 12 00|  31.744|
|GRB091224373|22 04 40.8|+18 15 36|   0.768|
|GRB111228657|10 00 15.6|+18 17 57|  99.842|
|GRB170705115|12 46 49.0|+18 18 27|  22.781|
|GRB170830069|23 32 00.0|+18 18 36| 216.835|
|GRB150226948|10 31 02.4|+18 22 12|  32.768|
|GRB160106948|12 06 26.4|+17 27 00|  39.425|
|GRB160423066|23 43 14.4|+17 30 00|  11.968|
|GRB120830702|07 20 07.2|+17 31 48|  49.665|
|GRB091215234|18 53 00.0|+17 33 00|   4.352|
|GRB161012214|22 01 16.8|+17 33 36|  11.008|
|GRB130522510|08 56 36.0|+17 37 12|  27.904|
|GRB120824594|04 43 40.8|+17 37 48| 111.618|
|GRB101231067|12 46 50.4|+17 38 24|  23.613|
|GRB091208410|01 57 34.1|+16 53 24|  12.480|
|GRB120905657|23 43 50.4|+16 59 24| 195.587|
|GRB150728151|06 41 45.6|+17 03 36|   1.728|
|GRB081107321|03 24 00.0|+17 06 00|   1.664|
|GRB090323002|12 42 48.0|+17 06 00| 135.170|
|GRB150802207|13 26 09.6|+17 10 48|   9.984|
|GRB170711713|18 34 26.4|+17 14 24|   1.152|
|GRB100709602|09 30 07.2|+17 22 48| 100.098|
|GRB130427324|11 32 32.6|+27 42 46| 138.242|
|GRB170306130|10 31 31.2|+27 45 00|  32.257|
|GRB150128791|18 09 04.8|+27 46 48|  85.248|
|GRB100528075|20 44 28.6|+27 48 36|  22.464|
|GRB100629801|15 24 50.4|+27 48 36|   0.832|
|GRB130528503|23 30 48.0|+27 48 36|  66.304|
|GRB130828808|12 33 00.0|+27 53 24|   3.904|
|GRB110123804|16 27 52.8|+28 01 48|  17.856|
|GRB171011810|11 48 09.6|+26 55 48|   0.480|
|GRB150120685|03 12 26.4|+26 56 24|  56.832|
|GRB120913846|09 45 44.9|+26 58 37|  33.792|
|GRB100515467|18 21 52.8|+27 00 36|  10.624|
|GRB150724398|10 42 26.4|+27 03 00|  37.376|
|GRB090820027|05 50 48.0|+27 03 36|  12.416|
|GRB150804806|22 18 07.2|+27 05 24|  51.201|
|GRB101220864|00 10 48.0|+27 12 00|  31.745|
|GRB090902462|17 39 45.4|+27 19 28|  19.328|
|GRB080927480|04 05 12.0|+27 24 00|  45.313|
|GRB100804104|16 35 52.8|+27 27 00|   6.592|
|GRB140427702|08 47 38.4|+27 29 24|  13.312|
|GRB100208386|17 21 00.0|+27 31 48|   0.192|
|GRB110213876|00 25 07.2|+27 32 24|   0.320|
|GRB140810782|07 56 09.6|+27 33 00|  81.665|
|GRB170504734|19 31 02.4|+27 38 24|   0.704|
|GRB130609129|10 10 42.2|+24 06 04|   5.376|
|GRB130622615|20 50 57.6|+24 27 36|   0.960|
|GRB140501139|11 27 31.2|+24 38 24|   0.256|
|GRB130416690|06 37 07.2|+24 42 00|   3.072|
|GRB120102095|18 24 54.0|+24 42 49|  28.416|
|GRB160912521|22 50 02.4|+24 44 24|  84.481|
|GRB140523129|08 53 12.0|+24 57 00|  19.200|
|GRB110629174|04 37 28.8|+25 00 36|  61.694|
|GRB111117510|00 50 46.2|+23 00 39|   0.432|
|GRB141229911|11 20 24.0|+23 03 36|  91.392|
|GRB131018673|20 17 38.4|+23 06 36|  39.936|
|GRB110709463|10 21 31.2|+23 07 12|  24.061|
|GRB091221870|03 43 11.6|+23 14 25|  23.040|
|GRB091030613|16 36 00.0|+23 32 24|  19.200|
|GRB150715136|10 29 02.4|+23 34 12|   0.384|
|GRB120327418|11 21 38.4|+23 45 36|   0.256|
|GRB170412988|10 57 31.2|+22 01 48|  31.232|
|GRB090811696|18 28 12.0|+22 13 12|  14.848|
|GRB100513879|21 24 09.6|+22 15 00|  11.136|
|GRB140621827|01 40 19.9|+22 25 26|   6.400|
|GRB101107011|11 13 19.2|+22 25 48| 375.814|
|GRB120814201|01 44 45.6|+22 27 00|   0.896|
|GRB171120556|10 55 09.8|+22 27 30|  44.062|
|GRB150226223|04 14 00.0|+22 30 36|   1.408|
|GRB090712160|04 40 23.3|+22 31 30|  87.041|
|GRB130115716|11 24 21.6|+22 37 12|  13.568|
|GRB120519721|12 01 00.0|+20 33 00|   1.056|
|GRB100130777|05 14 16.8|+20 49 48|  86.018|
|GRB150705009|06 49 57.6|+20 51 36|  20.992|
|GRB160917456|13 25 26.4|+20 55 48|  14.592|
|GRB150922718|06 02 14.4|+21 00 36|  15.872|
|GRB170929699|01 52 02.4|+21 01 12|   8.960|
|GRB170826369|04 17 21.1|+21 04 26|   0.256|
|GRB150810485|18 52 48.0|+21 10 48|   1.280|
|GRB100318611|14 03 50.4|+21 11 24|  18.432|
|GRB170616165|03 18 02.4|+19 40 12|  56.320|
|GRB150201040|00 22 31.2|+19 45 00|   0.512|
|GRB141118678|10 32 28.8|+19 45 36|   4.352|
|GRB100527795|15 07 19.2|+19 46 48| 184.579|
|GRB100301223|13 27 24.0|+19 49 48|  26.625|
|GRB110428338|08 33 45.6|+19 56 24| 101.634|
|GRB150721431|16 46 24.0|+20 03 36|   0.320|
|GRB110728056|11 06 24.0|+20 06 36|   0.704|
|GRB170825500|00 14 33.6|+20 07 12|   7.168|
|GRB150412931|14 41 02.4|+20 07 48|   0.640|
|GRB151227218|19 11 33.6|+31 56 24|  43.008|
|GRB160323293|02 13 55.2|+31 57 00|  20.736|
|GRB140606133|21 52 30.0|+32 00 51|  22.784|
|GRB141220252|13 00 16.1|+32 08 01|   7.616|
|GRB161129300|21 04 55.0|+32 08 09|  36.096|
|GRB090227772|00 47 12.0|+32 12 00|   0.304|
|GRB090529310|15 24 48.0|+32 12 00|   3.072|
|GRB100212550|08 57 04.8|+32 13 12|   3.773|
|GRB081204517|10 03 12.0|+30 30 00|   0.192|
|GRB131217108|05 46 21.6|+30 36 00|   0.768|
|GRB080830368|10 40 24.0|+30 48 00|  40.897|
|GRB120109824|16 45 19.2|+30 48 00|  38.656|
|GRB151030999|19 50 31.2|+30 51 00| 116.482|
|GRB151126293|22 34 26.4|+30 52 48|   8.448|
|GRB170911267|04 48 24.0|+30 54 50|  19.968|
|GRB140801792|02 56 16.4|+30 56 17|   7.168|
|GRB151231568|10 00 19.2|+28 48 36|   0.832|
|GRB170101374|10 29 57.6|+28 54 00|   2.304|
|GRB171108656|07 19 48.5|+29 05 28|   0.032|
|GRB141105406|01 07 38.4|+29 10 12|   1.280|
|GRB170313125|23 58 28.8|+29 16 12|  41.984|
|GRB120427054|14 59 44.4|+29 18 40|   5.632|
|GRB170302166|10 17 00.0|+29 23 24|   3.840|
|GRB110301214|15 17 24.0|+29 24 00|   5.693|
|GRB080821332|15 54 24.0|+32 36 00|   5.888|
|GRB161111197|13 54 24.0|+32 36 00| 118.528|
|GRB150127935|20 02 43.2|+32 39 36|  84.224|
|GRB090528516|20 48 48.0|+32 42 00|  79.041|
|GRB120217904|19 54 55.2|+32 42 00|   2.624|
|GRB101225377|04 02 43.2|+32 46 12|  81.218|
|GRB081206275|08 00 24.0|+32 48 00|  24.576|
|GRB140516765|04 57 07.2|+32 51 00|  22.016|
|GRB140808038|14 44 53.3|+49 12 53|   4.477|
|GRB110213220|02 52 01.0|+49 17 28|  34.305|
|GRB110522296|12 17 50.4|+49 19 48|  27.136|
|GRB120819048|11 26 09.6|+49 25 12|  66.304|
|GRB130206482|17 56 24.0|+49 25 48|  11.264|
|GRB100212588|23 45 40.8|+49 29 24|   2.496|
|GRB140906175|16 33 26.4|+49 30 36|  37.633|
|GRB121124606|05 51 43.2|+49 33 00|   0.256|
|GRB100411516|14 02 26.4|+47 54 36|   0.512|
|GRB121122885|02 55 26.4|+48 10 12|   7.936|
|GRB101223834|16 42 12.0|+48 13 12|  56.065|
|GRB121220311|02 04 16.8|+48 16 48|   5.120|
|GRB131029973|13 23 08.4|+48 17 53| 104.449|
|GRB110710954|15 16 21.6|+48 24 00|  22.720|
|GRB131125689|07 38 42.0|+48 24 50|   3.008|
|GRB140928100|10 55 04.8|+48 28 12|   7.680|
|GRB141031257|01 46 52.8|+45 58 48|  38.656|
|GRB090108020|17 23 12.0|+46 00 00|   0.704|
|GRB101220576|16 06 16.8|+46 08 24|  72.449|
|GRB120703498|14 02 02.4|+46 15 36|  77.568|
|GRB160917479|19 42 40.3|+46 24 12|  19.712|
|GRB121122564|03 30 40.8|+46 28 12|   8.704|
|GRB170610689|04 35 38.4|+46 28 48|  19.200|
|GRB140907672|03 12 35.3|+46 35 42|  35.841|
|GRB100328141|10 23 45.6|+47 01 48|   0.384|
|GRB160119072|15 27 57.6|+47 10 12|  23.296|
|GRB090403314|04 28 24.0|+47 12 00|  14.848|
|GRB090529564|10 50 48.0|+47 18 00|   9.853|
|GRB101021063|00 01 50.4|+47 20 24|   1.536|
|GRB130705398|10 25 12.0|+47 24 36|   0.128|
|GRB160718975|06 37 48.0|+47 27 36|   8.448|
|GRB130518580|23 42 41.0|+47 28 41|  48.577|
|GRB100424876|00 31 09.6|+43 21 00| 169.987|
|GRB151118554|19 31 55.2|+43 24 00|  40.897|
|GRB160530667|08 53 55.2|+43 28 48|   9.024|
|GRB101010190|03 08 45.6|+43 33 36|  65.025|
|GRB160922856|23 12 26.4|+43 34 12|  20.736|
|GRB161228553|08 37 09.6|+43 40 12|  47.105|
|GRB160816414|01 41 16.8|+43 42 00|  11.776|
|GRB140416060|02 21 38.4|+43 54 36|  31.744|
|GRB161026373|04 30 48.0|+41 51 00|   0.112|
|GRB111010709|04 39 12.0|+41 52 48|  52.993|
|GRB130204484|07 02 33.6|+41 55 12|   0.192|
|GRB110107886|19 56 31.2|+42 02 24| 183.555|
|GRB150502435|16 05 50.4|+42 03 36| 109.314|
|GRB110903009|10 56 50.4|+42 04 48|  28.672|
|GRB160623209|21 00 57.6|+42 16 12| 107.776|
|GRB091109895|16 30 52.8|+42 18 36|  30.977|
|GRB080802386|10 17 12.0|+40 42 00|   0.576|
|GRB130219775|20 14 55.2|+40 49 48|  96.129|
|GRB100614498|14 59 02.4|+40 52 12| 172.291|
|GRB150917148|02 31 33.6|+40 53 24|   7.424|
|GRB110709642|15 55 36.0|+40 54 00|  43.201|
|GRB130118482|18 33 12.0|+40 58 48|  21.568|
|GRB100525744|16 47 16.8|+41 02 24|   1.472|
|GRB170717952|22 30 45.6|+41 06 36|  11.776|
|GRB140224788|01 34 57.6|+39 28 48|  17.152|
|GRB090428441|14 00 24.0|+39 30 00|   3.968|
|GRB100923844|07 04 28.8|+39 36 00|  51.713|
|GRB150819440|03 57 32.6|+39 42 04|   0.960|
|GRB161121186|08 41 33.6|+39 43 48|   0.128|
|GRB170723882|14 10 19.2|+39 49 48|   5.376|
|GRB081122520|22 36 24.0|+40 00 00|  23.296|
|GRB120105584|13 34 45.6|+40 04 12|  22.528|
|GRB110705151|10 24 05.8|+40 05 56|   0.192|
|GRB140124527|04 16 43.2|+38 28 48| 121.538|
|GRB121125469|11 50 07.2|+38 32 24|  12.864|
|GRB081105614|14 23 12.0|+38 42 00|   1.280|
|GRB160102936|09 33 45.6|+38 45 00|  10.496|
|GRB110920338|05 50 16.8|+38 45 36|   9.728|
|GRB140626843|08 03 14.4|+38 46 48|   1.792|
|GRB140521184|20 34 55.2|+38 51 36|  46.592|
|GRB171017823|12 21 21.6|+38 54 00|  86.272|
|GRB090726218|16 01 48.0|+36 45 00|   7.680|
|GRB120702891|15 11 12.0|+36 45 36|  35.073|
|GRB120217808|08 09 45.6|+36 46 12|   5.888|
|GRB101008697|21 55 30.0|+37 04 02|   8.960|
|GRB160816730|21 29 38.6|+37 07 57|  11.072|
|GRB091112928|13 53 38.4|+37 10 12|  21.184|
|GRB100621452|06 55 19.2|+37 21 00| 123.906|
|GRB160818230|10 54 24.0|+37 24 00|   2.176|
|GRB150325696|08 52 33.6|+37 45 00|   0.080|
|GRB151205657|15 17 07.7|+35 46 08|  56.320|
|GRB110226989|13 17 09.6|+35 46 12|  14.080|
|GRB140827763|08 42 36.0|+35 48 00|  20.992|
|GRB110904124|23 58 45.6|+35 54 00|  83.905|
|GRB140610487|13 16 12.0|+35 54 36|   0.960|
|GRB130623790|07 09 43.2|+36 02 24|  42.241|
|GRB141005217|19 24 22.3|+36 05 43|   3.392|
|GRB160508290|01 54 48.0|+36 16 48|  10.496|
|GRB120520949|03 03 26.4|+35 16 48|   5.760|
|GRB081003644|17 16 24.0|+35 24 00|  50.177|
|GRB090610648|05 36 48.0|+35 25 12|   6.144|
|GRB120120432|08 58 52.8|+35 28 12|  32.256|
|GRB100216422|10 17 12.0|+35 30 00|   0.192|
|GRB130623130|12 58 26.4|+35 30 36|  29.440|
|GRB160407673|15 07 04.8|+35 31 48|   7.104|
|GRB170928607|20 16 21.6|+35 44 24|   9.216|
|GRB150928359|05 35 07.2|+34 14 24|  53.504|
|GRB110311812|07 50 21.6|+34 17 24|   6.400|
|GRB110928180|10 13 36.0|+34 17 24| 148.226|
|GRB111231622|10 22 02.4|+34 18 36|   8.256|
|GRB140519043|18 33 52.8|+34 24 36|  47.616|
|GRB101224614|19 20 38.4|+34 27 36|  25.601|
|GRB160721806|02 32 36.0|+34 31 12|   9.984|
|GRB110813237|04 04 57.6|+34 33 36|  22.784|
|GRB170511249|20 02 31.9|+33 18 54|  40.705|
|GRB100929315|16 14 28.8|+33 19 48|   4.608|
|GRB130808253|10 50 52.8|+33 22 48|   0.256|
|GRB131122490|17 26 40.8|+33 22 48|  23.040|
|GRB090113778|02 08 24.0|+33 24 00|  17.408|
|GRB090328713|10 22 48.0|+33 24 00|   0.192|
|GRB141030746|10 45 28.8|+33 24 00|   8.960|
|GRB160223416|06 19 58.5|+33 24 27|  17.920|
|GRB100929235|11 05 19.2|+62 17 24|   8.192|
|GRB170808065|00 13 19.2|+62 17 24|   4.352|
|GRB120811649|13 18 50.2|+62 17 28|  14.336|
|GRB160821937|18 39 56.9|+62 23 35|   1.088|
|GRB141026742|08 51 16.8|+62 28 48|   2.560|
|GRB140204547|11 04 26.4|+62 31 48|  71.168|
|GRB170723677|01 28 16.8|+62 40 48|  20.992|
|GRB110722710|00 33 07.2|+62 44 24|  14.336|
|GRB080809808|06 06 48.0|+61 24 00|  28.160|
|GRB090912660|12 32 09.6|+61 28 48| 147.651|
|GRB170111760|07 50 26.4|+61 31 12|   0.832|
|GRB161109263|10 31 26.4|+61 48 00|  23.552|
|GRB090621185|00 44 04.8|+61 56 28| 106.754|
|GRB130325005|02 01 45.6|+62 03 36|   0.640|
|GRB121019233|02 53 52.8|+62 08 24|  14.336|
|GRB100811781|07 12 33.6|+62 11 24|  78.080|
|GRB101119685|15 05 57.6|+59 36 36|   0.640|
|GRB140713780|18 44 27.4|+59 37 30|   5.376|
|GRB130224370|13 43 36.0|+59 43 12|  70.913|
|GRB160118060|01 10 52.8|+59 46 48|  46.849|
|GRB090824918|03 06 36.0|+59 48 36|  59.905|
|GRB121113544|20 52 40.8|+59 49 12|  95.490|
|GRB141202470|09 40 02.4|+59 52 12|   1.344|
|GRB141126233|16 15 28.8|+59 59 24|   0.896|
|GRB150522944|08 43 26.4|+58 34 48|   1.024|
|GRB100506653|06 48 33.6|+58 35 24|  21.376|
|GRB140824606|01 13 19.2|+58 38 24| 108.802|
|GRB140108721|21 40 27.1|+58 44 41|  91.393|
|GRB120715066|18 08 36.0|+58 47 24|  29.696|
|GRB090814368|22 09 55.2|+58 55 12|   0.192|
|GRB110903111|13 08 14.6|+58 59 07| 341.254|
|GRB100911816|10 05 16.8|+58 59 24|   5.632|
|GRB160303201|10 53 57.6|+56 56 24|  48.129|
|GRB140705539|10 55 26.4|+56 58 12|  26.880|
|GRB090306245|09 08 00.0|+57 00 00|  27.904|
|GRB140716306|14 20 55.2|+57 00 36|   3.328|
|GRB120114681|21 11 37.0|+57 02 09|  43.264|
|GRB170921168|08 49 30.0|+57 03 25|  39.361|
|GRB100519204|12 45 57.6|+57 24 36|  62.913|
|GRB150206407|14 42 21.6|+57 30 00|   5.120|
|GRB110522256|15 15 38.4|+55 31 48|  28.160|
|GRB100906576|01 54 44.2|+55 37 50| 110.594|
|GRB101204343|12 47 38.4|+55 40 12|   0.128|
|GRB170207906|21 02 49.0|+55 41 24|  38.913|
|GRB140829880|17 02 21.6|+55 55 48|  77.568|
|GRB100722291|02 07 14.4|+56 13 48|   1.280|
|GRB170428136|00 19 02.4|+56 13 48|  30.464|
|GRB081113230|11 21 12.0|+56 18 00|   0.576|
|GRB090902401|19 23 55.2|+53 06 36|   3.200|
|GRB150316400|01 03 33.6|+53 08 24|   1.984|
|GRB160512536|13 50 12.0|+53 15 36| 124.928|
|GRB160211119|08 12 48.0|+53 25 48|   0.960|
|GRB090815438|01 25 40.8|+53 26 24|  56.321|
|GRB131126163|14 21 43.2|+53 31 48|   0.128|
|GRB130304410|06 35 43.2|+53 34 12|  67.841|
|GRB140608713|14 07 50.4|+53 49 12|   6.400|
|GRB100714672|07 05 28.8|+51 08 24|  35.584|
|GRB140709051|20 18 33.4|+51 13 23|  69.633|
|GRB090511684|10 47 36.0|+51 18 00|   7.616|
